ID,Empresa,Categoria,Cidade,Telefone,Site,Nota,Avals,Status
963,IJ Construtora,Construtora,Vinhedo,(11) 97137-1010,construtoraij.com.br,4.2,10,Nao iniciado
964,Iso Construções e Incorporações,Construtora,Vinhedo,(19) 3876-3069,,4,3,Nao iniciado
965,J P O Construtora,Construtora,Vinhedo,(19) 3856-4148,,,,Nao iniciado
966,Jf Construtora Vinhedo,Construtora,Vinhedo,,,,,Nao iniciado
967,M & F Gessos e Molduras - Vinhedo,Construtora,Vinhedo,(19) 97119-3491,mefgessosvinhedo.com.br,4.8,20,Nao iniciado
968,Marcenaria Antonio Soares,Construtora,Vinhedo,(19) 99870-9898,,5,3,Nao iniciado
969,Mpinturas,Construtora,Vinhedo,(19) 99900-9652,,5,1,Nao iniciado
970,PETER O PINTOR .O Pincel Mais Rápido de Vinhedo ,Construtora,Vinhedo,(19) 99887-8720,peterpintoreletricistadevinhedo.co,5,31,Nao iniciado
971,Pillar Construtora Ltda.,Construtora,Vinhedo,(19) 3836-2628,construtorapillar.eng.br,5,1,Nao iniciado
972,Planterra,Construtora,Vinhedo,(19) 3876-4588,planterraterraplenagem.com.br,4,6,Nao iniciado
973,Primavera Incorporações e Participações,Construtora,Vinhedo,(19) 3886-1551,,4,4,Nao iniciado
974,RJ Manutenções e Reparos | Serviços,Construtora,Vinhedo,(19) 3826-1040,manutencaovinhedo.com.br,,,Nao iniciado
975,Silva& construção,Construtora,Vinhedo,(19) 95326-0938,,5,2,Nao iniciado
976,Singapura Construção e Montagens Industriais,Construtora,Vinhedo,,singapura.eng.br,4.3,11,Nao iniciado
977,Studio Andrietta | Ligia Andrietta,Construtora,Vinhedo,(19) 99202-5858,,5,25,Nao iniciado
978,Tecnocorp,Construtora,Vinhedo,(11) 98262-1155,,4,1,Nao iniciado
979,Tek Casa - Juliana Bandina Maurício Projetos e C,Construtora,Vinhedo,(19) 99255-5815,jubm.com.br,5,2,Nao iniciado
980,Tiago Morselli Pinturas,Construtora,Vinhedo,(19) 99959-7815,,4.9,9,Nao iniciado
981,VI Engenharia e Construção,Construtora,Vinhedo,(19) 99249-0660,,,,Nao iniciado
982,Vagner S. Bellini - Engenheiro Civil | Engenheir,Construtora,Vinhedo,(19) 98393-6522,,,,Nao iniciado
983,Vigneto Desenvolvimento Imobiliário,Construtora,Vinhedo,(19) 3836-3269,vigneto.com.br,3.5,43,Nao iniciado
984,WM Sistec Engenharia e Construção,Construtora,Vinhedo,(19) 3886-4714,wmsistec.com.br,5,6,Nao iniciado
985,i9M2 Engenharia e Construções,Construtora,Vinhedo,(11) 96398-5892,i9m2.com.br,5,2,Nao iniciado
986,"senior servicos gerais, pedreiro, pintor ,marcen",Construtora,Vinhedo,(19) 99170-6196,,4.8,16,Nao iniciado
987,4e Engenharia e Energia,Engenharia,Vinhedo,(19) 99744-7344,,,,Nao iniciado
988,Addon Engenharia,Engenharia,Vinhedo,(19) 99922-0917,,5,1,Nao iniciado
989,Aguiar Engenharia Trabalho e Treinamentos NR,Engenharia,Vinhedo,(19) 99139-6180,aguiarengtrabalho.com.br,5,3,Nao iniciado
990,Araújo Engenharia Integridade de Equipamentos In,Engenharia,Vinhedo,(19) 3826-5436,araujoengenharia.com.br,4.6,45,Nao iniciado
991,C2F Engenharia,Engenharia,Vinhedo,(19) 99779-0075,c2fengenharia.com.br,5,13,Nao iniciado
992,CKalil - CRISTIANO KALIL ENGENHARIA,Engenharia,Vinhedo,(19) 3836-3467,instagram.com,5,11,Nao iniciado
993,Convergente Engenharia Ltda,Engenharia,Vinhedo,(19) 2042-0062,convergente.eng.br,,,Nao iniciado
994,Eisenreste Engenharia,Engenharia,Vinhedo,(19) 98330-3231,eisenreste.com,4.9,7,Nao iniciado
995,Engefort Engenharia e Gerenciamento de Obras,Engenharia,Vinhedo,(19) 99206-1223,engefort-engenharia-e-gerenciament,5,1,Nao iniciado
996,Engenharia da Preparação,Engenharia,Vinhedo,(11) 93347-1629,engenhariadapreparacao.com.br,4.8,133,Nao iniciado
997,Engetreli Engenharia,Engenharia,Vinhedo,(19) 3876-2329,engetreli.com,,,Nao iniciado
998,Engevilla Regularização de Imóveis e Serviços de,Engenharia,Vinhedo,(19) 99779-8395,engevilla.com.br,,,Nao iniciado
999,FCS Engenharia LTDA,Engenharia,Vinhedo,(19) 3846-6831,engenhariafcs.com.br,5,6,Nao iniciado
1000,FL Engenharia e Cálculo Estrutural em Vinhedo SP,Engenharia,Vinhedo,(19) 99140-7335,abre.ai,5,8,Nao iniciado
1001,HM Engenharia Costeira e Portuária,Engenharia,Vinhedo,(19) 3826-1204,hm.eng.br,5,1,Nao iniciado
1002,Innov Home Engenharia e Design,Engenharia,Vinhedo,(19) 3030-3334,innovhome.com.br,1,1,Nao iniciado
1003,Isoville Engenharia e Indústria,Engenharia,Vinhedo,(47) 99656-9684,isoville.com.br,5,1,Nao iniciado
1004,JBF Engenharia,Engenharia,Vinhedo,(19) 3886-4227,,,,Nao iniciado
1005,Links Consultoria em Projetos de Engenharia,Engenharia,Vinhedo,(19) 3876-0094,,,,Nao iniciado
1006,Litucera Limpeza e Engenharia Ltda.,Engenharia,Vinhedo,(19) 3826-2260,litucera.com.br,3.2,62,Nao iniciado
1007,MARANHÃO ENGENHARIA,Engenharia,Vinhedo,(19) 99702-2538,engenhariamaranhao.com.br,5,1,Nao iniciado
1008,R&B Engenharia,Engenharia,Vinhedo,(19) 99748-5709,rebengenharia.com.br,,,Nao iniciado
1009,RM Mais Engenharia,Engenharia,Vinhedo,(19) 3876-1009,rmmais.com.br,5,17,Nao iniciado
1010,RiskSeg Engenharia de Riscos,Engenharia,Vinhedo,(11) 2613-9367,riskseg.com.br,4.9,27,Nao iniciado
1011,S & A Engenharia e Comércio Ltda - Infraestrutur,Engenharia,Vinhedo,(19) 3876-3190,,5,1,Nao iniciado
1012,SC Projetos e Engenharia,Engenharia,Vinhedo,(19) 99525-5436,scprojeng.eng.br,,,Nao iniciado
1013,"SSR TECNOLOGIA, ENGENHARIA E AEROLEVANTAMENTOS L",Engenharia,Vinhedo,(19) 3886-4800,ssr.com.br,4.7,39,Nao iniciado
1014,Sólido Engenharia e Automação,Engenharia,Vinhedo,(19) 3886-7287,,,,Nao iniciado
1015,Alfe Engenharia e Empreendimentos Imobiliários L,Incorporadora,Vinhedo,(19) 3876-3057,alfe.com.br,4.9,9,Nao iniciado
1016,Elemento Construtora e Incorporadora,Incorporadora,Vinhedo,(19) 97145-7664,elemento.com.br,4,25,Nao iniciado
1017,Engecon Construtora e Incorporadora,Incorporadora,Vinhedo,(19) 3886-5522,engeconsp.com.br,4.8,16,Nao iniciado
1018,Fratesi e Bonásio Empreendimentos Imobiliários,Incorporadora,Vinhedo,(19) 3826-4403,,5,1,Nao iniciado
1019,Fruco Empreendimentos Imobiliários e Construtora,Incorporadora,Vinhedo,(19) 3876-1987,,5,3,Nao iniciado
1020,Melle Empreendimentos Imobiliários,Incorporadora,Vinhedo,(19) 3886-2013,,2.5,2,Nao iniciado
1021,Rocan Construtora e Empreendimentos Imob,Incorporadora,Vinhedo,(19) 3836-3776,,,,Nao iniciado
1022,Rotavi Empreendimentos Imobiliários,Incorporadora,Vinhedo,(19) 3876-4041,,,,Nao iniciado
1023,Sol Vinhedo Empreendimentos Imobiliários,Incorporadora,Vinhedo,(19) 3876-1103,,3,3,Nao iniciado
1024,São José Empreendimentos Imobiliários e Particip,Incorporadora,Vinhedo,(19) 3856-4430,,3,2,Nao iniciado
1025,Vicorp Empreendimentos Imobiliários,Incorporadora,Vinhedo,(19) 3876-5957,vicorp.com.br,3.9,10,Nao iniciado
1026,Bacana & Jhow Terraplenagem,Terraplenagem/Infra,Vinhedo,(19) 99156-9216,blog.tonasbuscascampinas.com,4,4,Nao iniciado
1027,Construmister construtora Prestação de serviços ,Terraplenagem/Infra,Vinhedo,(19) 99972-6132,,,,Nao iniciado
1028,Fox 9 Terraplenagem,Terraplenagem/Infra,Vinhedo,(19) 3886-0729,fox9terraplenagem.com.br,2,2,Nao iniciado
1029,"Ihmes Bobcat, Perfuração Solo e Terraplanagem",Terraplenagem/Infra,Vinhedo,(19) 99198-9645,,5,6,Nao iniciado
1030,Rma Rental Terraplenagem Ltda,Terraplenagem/Infra,Vinhedo,,,,,Nao iniciado
1031,Tatu Terraplenagem,Terraplenagem/Infra,Vinhedo,(19) 3929-5254,,2,9,Nao iniciado
1032,Terraplanagem Alemão do trevo 🍀,Terraplenagem/Infra,Vinhedo,(19) 98886-3783,,,,Nao iniciado
